roll,inkomstgrupp,kapitalgrupp,alder,kon,batchkod,land
L,2,2,84,kvinna,M,Sverige
,3,5,81,kvinna,Övriga,Sverige
D,1,1,69,man,M,Sverige
Sec,0,1,34,kvinna,M,Sverige
,1,3,68,man,Övriga,Sverige
,4,2,83,kvinna,Övriga,Sverige
,4,2,35,kvinna,Övriga,inte_sverige
L,3,5,67,man,M,inte_sverige
,4,1,41,kvinna,Övriga,Sverige
D,1,1,46,man,M,Sverige
L,2,4,31,man,M,inte_sverige
,1,4,54,kvinna,Övriga,inte_sverige
,5,1,73,kvinna,Övriga,Sverige
Sec,5,3,70,kvinna,M,inte_sverige
S,2,3,45,kvinna,M,Sverige
,3,1,20,man,Övriga,inte_sverige
,5,5,87,kvinna,Övriga,inte_sverige
,2,1,56,kvinna,Övriga,inte_sverige
Sec,1,5,32,man,M,Sverige
D,5,3,20,kvinna,M,Sverige
L,4,3,36,kvinna,M,Sverige
S,1,2,66,man,M,Sverige
Sec,0,3,26,kvinna,M,Sverige
Sec,0,3,54,kvinna,M,Sverige
,3,4,34,man,Övriga,inte_sverige
,2,2,50,kvinna,Övriga,inte_sverige
,0,4,58,kvinna,Övriga,inte_sverige
Sec,1,2,49,kvinna,M,inte_sverige
,3,1,68,man,Övriga,Sverige
,2,5,35,man,Övriga,inte_sverige
S,5,5,52,man,M,inte_sverige
,5,3,45,kvinna,Övriga,inte_sverige
,5,3,67,man,Övriga,Sverige
,0,1,83,man,Övriga,inte_sverige
D,1,5,79,kvinna,M,inte_sverige
,3,1,28,man,Övriga,Sverige
D,5,2,83,man,M,inte_sverige
L,1,2,79,man,M,inte_sverige
,2,5,59,man,Övriga,Sverige
,1,4,61,kvinna,Övriga,inte_sverige
,0,2,33,kvinna,Övriga,inte_sverige
D,0,2,39,kvinna,M,inte_sverige
L,3,5,87,kvinna,M,Sverige
S,5,1,33,man,M,inte_sverige
,4,5,57,man,Övriga,Sverige
,5,3,86,kvinna,Övriga,Sverige
,4,2,48,man,Övriga,inte_sverige
,1,3,83,man,Övriga,Sverige
D,3,2,27,man,M,Sverige
Sec,3,4,74,man,M,inte_sverige
,2,5,88,kvinna,Övriga,inte_sverige
,5,2,38,man,Övriga,Sverige
D,3,4,43,kvinna,M,Sverige
,2,5,25,man,Övriga,Sverige
Sec,2,5,49,man,M,inte_sverige
S,5,3,49,man,M,Sverige
,5,2,38,man,Övriga,Sverige
D,3,5,21,man,M,inte_sverige
L,4,2,71,kvinna,M,inte_sverige
,1,4,46,man,Övriga,Sverige
,1,5,54,kvinna,Övriga,Sverige
,0,2,57,man,Övriga,inte_sverige
,3,4,79,kvinna,Övriga,inte_sverige
,4,4,74,man,Övriga,inte_sverige
L,5,5,39,kvinna,M,inte_sverige
,4,1,48,man,Övriga,inte_sverige
L,4,5,50,kvinna,M,Sverige
,4,1,59,man,Övriga,Sverige
L,3,3,62,kvinna,M,Sverige
,3,5,37,man,Övriga,Sverige
D,1,5,82,kvinna,M,inte_sverige
,1,1,76,man,Övriga,Sverige
D,3,2,28,kvinna,M,Sverige
,5,3,69,kvinna,Övriga,inte_sverige
,0,4,39,kvinna,Övriga,Sverige
L,2,1,47,kvinna,M,inte_sverige
Sec,1,1,80,kvinna,M,Sverige
,2,2,25,kvinna,Övriga,Sverige
S,2,4,73,kvinna,M,Sverige
L,2,2,27,man,M,Sverige
,3,3,59,kvinna,Övriga,inte_sverige
,0,2,65,kvinna,Övriga,Sverige
,2,3,61,kvinna,Övriga,inte_sverige
S,4,1,38,kvinna,M,inte_sverige
L,1,1,33,kvinna,M,Sverige
S,0,1,66,man,M,Sverige
